chain,mall_id,n_stores,n_brands,top_categories,mall_name,region,n_unique_brands
sm,sm-center-dagupan,114,114,"dining (39), cyberzone (29), shopping (23)",SM Center Dagupan,north-luzon,7
robinsons,robinsons-north-tacloban,114,110,,Robinsons North Tacloban,visayas,34
robinsons,robinsons-jaro,113,110,,Robinsons Place Jaro,visayas,24
sm,sm-city-rosario,113,113,"dining (38), cyberzone (24), shopping (24)",SM City Rosario,south-luzon,8
robinsons,robinsons-cybergate-cebu,112,91,,Robinsons Cybergate Cebu,visayas,50
robinsons,robinsons-tagum,111,108,,Robinsons Place Tagum,mindanao,39
sm,sm-city-bf-paranaque,110,110,"dining (32), cyberzone (28), shopping (21)",SM City BF Parañaque,metro-manila,5
sm,sm-jmall,108,108,"cyberzone (32), dining (29), shopping (25)",SM J Mall,visayas,19
starmall,alabang,107,107,"shopping (39), services (33), dining (30)",Starmall Alabang,metro-manila,34
robinsons,robinsons-las-pinas,107,105,,Robinsons Place Las Pinas,metro-manila,27
sm,sm-center-pulilan,107,106,"shopping (25), dining (20), cyberzone (16)",SM Center Pulilan,north-luzon,17
waltermart,makati,105,104,"food choices (51), shops (24), services (11)",WalterMart Makati,metro-manila,14
ayala,ayala-serin,105,99,"shop (43), dine (36), essentials (14)",Ayala Malls Serin,south-luzon,9
robinsons,robinsons-pavia,104,94,,Robinsons Place Pavia,visayas,19
robinsons,robinsons-roxas,104,102,,Robinsons Place Roxas,visayas,32
robinsons,robinsons-bacolod,103,100,,Robinsons Place Bacolod,visayas,30
araneta,farmers-plaza,102,101,,Farmers Plaza,metro-manila,49
sm,sm-center-angono,102,102,"dining (32), shopping (24), cyberzone (19)",SM Center Angono,metro-manila,4
sm,sm-center-las-pinas,100,100,"dining (36), cyberzone (18), hobbies-and-specialty (15)",SM Center Las Piñas,metro-manila,6
sm,sm-center-tuguegarao-downtown,100,99,"shopping (25), dining (25), cyberzone (17)",SM Center Tuguegarao Downtown,north-luzon,10
sm,s-maison,99,91,"dining (39), shopping (20), wellness (11)",S Maison,metro-manila,42
starmall,san-jose-del-monte,98,98,"shopping (36), dining (32), services (25)",Starmall San Jose del Monte,north-luzon,28
sm,sm-center-ormoc,98,98,"dining (28), shopping (27), cyberzone (12)",SM Center Ormoc,visayas,13
robinsons,robinsons-sta-rosa,97,91,,Robinsons Sta. Rosa,south-luzon,37
ayala,ayala-the-30th,96,96,"dine (44), shop (21), services (17)",Ayala Malls The 30th,metro-manila,8
megaworld,eastwood-city-walk,92,89,"dine (56), services (23), shop (12)",Eastwood City Walk,metro-manila,35
robinsons,robinsons-antique,92,89,,Robinsons Place Antique,visayas,11
sm,sm-center-pasig,91,91,"dining (43), wellness (17), hobbies-and-specialty (11)",SM Center Pasig,metro-manila,17
ayala,ayala-vermosa,90,89,"dine (41), shop (32), services (9)",Ayala Malls Vermosa,south-luzon,0
araneta,ali-mall,87,87,,Ali Mall,metro-manila,36
sm,sm-center-san-pedro,86,86,"dining (34), shopping (17), cyberzone (14)",SM Center San Pedro,south-luzon,3
robinsons,robinsons-malabon,86,86,,Robinsons Town Mall Malabon,metro-manila,23
ayala,ayala-marikina,85,83,"dine (38), shop (19), essentials (13)",Ayala Malls Marikina,metro-manila,4
waltermart,dasmarinas,83,83,"food choices (36), shops (18), cybermart (10)",WalterMart Dasmariñas,south-luzon,7
ayala,ayala-the-district-imus,81,79,"shop (31), dine (22), services (14)",The District Imus,south-luzon,9
robinsons,robinsons-fuente,80,75,,Robinsons Fuente,visayas,20
araneta,gateway-mall,79,78,,Gateway Mall,metro-manila,9
